ParentBidID,Z,Dual
1,1.0,60.1
2,1.0,59.4
3,1.0,99.5
4,1.0,94.0
5,1.0,97.0
6,1.0,105.0
7,1.0,45.5
8,1.0,43.0
9,1.0,45.5
10,1.0,83.02
11,1.0,74.0
12,1.0,130.0
13,1.0,77.0
14,1.0,89.0
15,1.0,50.9
16,0.0,180.3
17,1.0,14.2
18,1.0,60.57
19,1.0,77.15
20,1.0,53.87
21,1.0,106.39
22,1.0,110.23
23,1.0,129.03
24,1.0,135.87
25,1.0,115.18
26,1.0,104.13
27,1.0,135.86
28,1.0,131.57
29,1.0,122.17
30,1.0,66.15
31,1.0,100.04
32,1.0,96.28
33,1.0,95.59
34,1.0,61.35
35,1.0,67.6
36,1.0,73.71
37,1.0,115.0
38,1.0,58.69
39,1.0,59.77
40,1.0,74.98
41,1.0,51.78
42,1.0,95.64
43,1.0,63.72
44,0.0,93.43
45,0.0,70.43
46,1.0,71.88
47,1.0,95.0
48,1.0,74.19
49,1.0,105.0
50,1.0,55.26
51,1.0,85.14
52,1.0,120.0
53,1.0,68.52
54,0.0,69.57
55,0.0,59.55
56,0.0,75.47
57,1.0,106.92
58,1.0,48.0
59,1.0,48.0
60,1.0,40.5
61,1.0,45.5
62,1.0,44.0
63,1.0,46.0
64,1.0,62.36
65,0.0,62.36
66,1.0,62.36
67,1.0,99.0
68,0.0,99.0
69,0.0,74.08
70,1.0,74.08
71,1.0,80.84
72,1.0,82.38
73,1.0,81.62
74,1.0,84.27
75,1.0,83.78
76,1.0,100.16
77,1.0,22.0
78,1.0,18.0
79,0.0,180.0
80,1.0,46.0
81,1.0,47.0
82,1.0,29.0
83,1.0,29.2
84,1.0,29.4
85,1.0,29.6
86,1.0,76.5
87,1.0,77.0
88,1.0,73.5
89,1.0,72.0
90,1.0,74.0
91,1.0,99.0
92,1.0,99.0
93,1.0,48.08
94,1.0,47.52
95,1.0,79.6
96,1.0,75.2
97,1.0,77.6
98,1.0,84.0
99,1.0,36.4
100,1.0,34.4
101,1.0,36.4
102,1.0,66.416
103,1.0,59.2
104,1.0,104.0
105,1.0,61.6
106,1.0,71.2
107,1.0,40.72
108,1.0,144.24
109,0.0,11.36
110,1.0,48.456
111,1.0,61.72
112,1.0,43.096
113,1.0,85.112
114,1.0,88.184
115,1.0,103.224
116,0.0,108.696
117,1.0,92.144
118,1.0,83.304
119,1.0,108.688
120,1.0,105.256
121,1.0,97.736
122,1.0,52.92
123,1.0,80.032
124,1.0,77.024
125,1.0,76.472
126,0.0,49.08
127,0.0,54.08
128,0.0,58.968
129,1.0,92.0
130,1.0,46.952
131,0.0,47.816
132,1.0,59.984
133,1.0,41.424
134,1.0,76.512
135,1.0,50.976
136,1.0,74.744
137,1.0,56.344
138,1.0,57.504
139,1.0,76.0
140,0.0,59.352
141,1.0,84.0
142,1.0,44.208
143,1.0,68.112
144,1.0,96.0
145,1.0,54.816
146,0.0,55.656
147,0.0,47.64
148,0.0,60.376
149,0.0,85.536
150,1.0,38.4
151,1.0,38.4
152,1.0,32.4
153,1.0,36.4
154,1.0,35.2
155,1.0,36.8
156,0.0,49.888
157,1.0,49.888
158,1.0,49.888
159,0.0,79.2
160,1.0,79.2
161,1.0,59.264
162,1.0,59.264
163,1.0,64.672
164,1.0,65.904
165,1.0,65.296
166,1.0,67.416
167,1.0,67.024
168,1.0,80.128
169,1.0,17.6
170,1.0,14.4
171,1.0,144.0
172,1.0,36.8
173,1.0,37.6
174,1.0,23.2
175,1.0,23.36
176,1.0,23.52
177,1.0,23.68
178,1.0,61.2
179,1.0,61.6
180,1.0,58.8
181,1.0,57.6
182,1.0,59.2
183,1.0,79.2
184,1.0,79.2
